year,week,start,end
2025,1,1/1/2025,1/4/2025
2025,2,1/5/2025,1/11/2025
2025,3,1/12/2025,1/18/2025
2025,4,1/19/2025,1/25/2025
2025,5,1/26/2025,2/1/2025
2025,6,2/2/2025,2/8/2025
2025,7,2/9/2025,2/15/2025
2025,8,2/16/2025,2/22/2025
2025,9,2/23/2025,3/1/2025
2025,10,3/2/2025,3/8/2025
2025,11,3/9/2025,3/15/2025
2025,12,3/16/2025,3/22/2025
2025,13,3/23/2025,3/29/2025
2025,14,3/30/2025,4/5/2025
2025,15,4/6/2025,4/12/2025
2025,16,4/13/2025,4/19/2025
2025,17,4/20/2025,4/26/2025
2025,18,4/27/2025,5/3/2025
2025,19,5/4/2025,5/10/2025
2025,20,5/11/2025,5/17/2025
2025,21,5/18/2025,5/24/2025
2025,22,5/25/2025,5/31/2025
2025,23,6/1/2025,6/7/2025
2025,24,6/8/2025,6/14/2025
2025,25,6/15/2025,6/21/2025
2025,26,6/22/2025,6/28/2025
2025,27,6/29/2025,7/5/2025
2025,28,7/6/2025,7/12/2025
2025,29,7/13/2025,7/19/2025
2025,30,7/20/2025,7/26/2025
2025,31,7/27/2025,8/2/2025
2025,32,8/3/2025,8/9/2025
2025,33,8/10/2025,8/16/2025
2025,34,8/17/2025,8/23/2025
2025,35,8/24/2025,8/30/2025
2025,36,8/31/2025,9/6/2025
2025,37,9/7/2025,9/13/2025
2025,38,9/14/2025,9/20/2025
2025,39,9/21/2025,9/27/2025
2025,40,9/28/2025,10/4/2025
2025,41,10/5/2025,10/11/2025
2025,42,10/12/2025,10/18/2025
2025,43,10/19/2025,10/25/2025
2025,44,10/26/2025,11/1/2025
2025,45,11/2/2025,11/8/2025
2025,46,11/9/2025,11/15/2025
2025,47,11/16/2025,11/22/2025
2025,48,11/23/2025,11/29/2025
2025,49,11/30/2025,12/6/2025
2025,50,12/7/2025,12/13/2025
2025,51,12/14/2025,12/20/2025
2025,52,12/21/2025,12/27/2025
2025,53,12/28/2025,1/3/2026
2024,1,1/1/2024,1/6/2024
2024,2,1/7/2024,1/13/2024
2024,3,1/14/2024,1/20/2024
2024,4,1/21/2024,1/27/2024
2024,5,1/28/2024,2/3/2024
2024,6,2/4/2024,2/10/2024
2024,7,2/11/2024,2/17/2024
2024,8,2/18/2024,2/24/2024
2024,9,2/25/2024,3/2/2024
2024,10,3/3/2024,3/9/2024
2024,11,3/10/2024,3/16/2024
2024,12,3/17/2024,3/23/2024
2024,13,3/24/2024,3/30/2024
2024,14,3/31/2024,4/6/2024
2024,15,4/7/2024,4/13/2024
2024,16,4/14/2024,4/20/2024
2024,17,4/21/2024,4/27/2024
2024,18,4/28/2024,5/4/2024
2024,19,5/5/2024,5/11/2024
2024,20,5/12/2024,5/18/2024
2024,21,5/19/2024,5/25/2024
2024,22,5/26/2024,6/1/2024
2024,23,6/2/2024,6/8/2024
2024,24,6/9/2024,6/15/2024
2024,25,6/16/2024,6/22/2024
2024,26,6/23/2024,6/29/2024
2024,27,6/30/2024,7/6/2024
2024,28,7/7/2024,7/13/2024
2024,29,7/14/2024,7/20/2024
2024,30,7/21/2024,7/27/2024
2024,31,7/28/2024,8/3/2024
2024,32,8/4/2024,8/10/2024
2024,33,8/11/2024,8/17/2024
2024,34,8/18/2024,8/24/2024
2024,35,8/25/2024,8/31/2024
2024,36,9/1/2024,9/7/2024
2024,37,9/8/2024,9/14/2024
2024,38,9/15/2024,9/21/2024
2024,39,9/22/2024,9/28/2024
2024,40,9/29/2024,10/5/2024
2024,41,10/6/2024,10/12/2024
2024,42,10/13/2024,10/19/2024
2024,43,10/20/2024,10/26/2024
2024,44,10/27/2024,11/2/2024
2024,45,11/3/2024,11/9/2024
2024,46,11/10/2024,11/16/2024
2024,47,11/17/2024,11/23/2024
2024,48,11/24/2024,11/30/2024
2024,49,12/1/2024,12/7/2024
2024,50,12/8/2024,12/14/2024
2024,51,12/15/2024,12/21/2024
2024,52,12/22/2024,12/31/2024
